feature,importance
left_pokemon_charge_move_2_128,0.0007614861299563303
left_pokemon_fast_move_119,0.0007600114192217485
left_pokemon_fast_move_92,0.0007545650345316567
right_pokemon_fast_move_134,0.0007506502628715489
right_pokemon_fast_move_93,0.0007499477102783346
right_pokemon_charge_move_2_type_5,0.000749089979570071
left_pokemon_charge_move_2_215,0.0007476563281455276
right_pokemon_fast_move_25,0.0007463779491130546
right_pokemon_charge_move_1_4,0.0007432068194904804
left_pokemon_charge_move_2_200,0.0007411901200301551
right_pokemon_charge_move_1_218,0.0007379031884427412
left_pokemon_charge_move_2_84,0.0007346430201351594
left_pokemon_charge_move_1_258,0.0007336993279908021
right_pokemon_fast_move_104,0.0007325781893181767
left_pokemon_charge_move_1_270,0.0007276484172740919
left_pokemon_type_2_12,0.0007222104050277362
right_pokemon_type_2_5,0.0007153071211293341
right_pokemon_fast_move_108,0.000715029440278645
left_pokemon_charge_move_2_type_14,0.0007115714396017724
right_pokemon_charge_move_2_type_2,0.0007070389819265193
right_pokemon_charge_move_1_type_3,0.0007036506642205474
left_pokemon_fast_move_1,0.000700737951114732
right_pokemon_fast_move_74,0.0006964596259961089
right_pokemon_fast_move_77,0.000695033959804335
left_pokemon_charge_move_2_176,0.0006921036719825112
right_pokemon_charge_move_1_230,0.0006895624440580171
left_pokemon_charge_move_2_type_16,0.0006884373243818099
left_pokemon_fast_move_8,0.0006877594364539742
right_pokemon_charge_move_2_type_12,0.0006868631875929795
left_pokemon_charge_move_2_154,0.0006857393056103445
left_pokemon_charge_move_1_125,0.0006848144603994712
right_pokemon_charge_move_2_226,0.0006823945143020965
right_pokemon_charge_move_2_type_17,0.0006790444477248493
right_pokemon_charge_move_2_type_15,0.0006789785406275381
right_pokemon_fast_move_11,0.0006766539812256177
left_pokemon_charge_move_1_260,0.0006759074257709933
left_pokemon_charge_move_1_262,0.0006711663868660273
right_pokemon_charge_move_2_148,0.0006690694254534743
right_pokemon_charge_move_2_139,0.0006675771205129191
left_pokemon_charge_move_1_19,0.0006649169589130086
right_pokemon_fast_move_106,0.0006636467721560841
left_pokemon_charge_move_2_201,0.0006626964807738584
left_pokemon_charge_move_2_220,0.0006571032742979842
left_pokemon_fast_move_25,0.0006565309324741074
left_pokemon_charge_move_2_41,0.000648834908477477
left_pokemon_fast_move_31,0.0006445562249167549
left_pokemon_charge_move_2_type_9,0.0006435879769707757
right_pokemon_charge_move_1_26,0.0006397739911354968
right_pokemon_fast_move_129,0.0006377135163039171
left_pokemon_charge_move_1_28,0.0006375871041496899
right_pokemon_charge_move_2_type_1,0.0006321453827748767
right_pokemon_charge_move_2_216,0.0006315143928641719
left_pokemon_fast_move_type_13,0.0006249452671726952
right_pokemon_charge_move_2_230,0.0006244368296663049
right_pokemon_charge_move_1_13,0.000621618602703386
right_pokemon_charge_move_1_260,0.0006213562438045321
right_pokemon_charge_move_1_32,0.0006207956032563197
right_pokemon_charge_move_2_270,0.0006178905217640212
right_pokemon_type_1_5,0.000615175653258534
right_pokemon_charge_move_2_97,0.0006140254112236423
right_pokemon_charge_move_2_104,0.0006118814123878681
right_pokemon_fast_move_99,0.0006106257317752902
right_pokemon_charge_move_1_287,0.0006095808887898003
right_pokemon_charge_move_2_172,0.0006087287661734228
left_pokemon_fast_move_81,0.0006041568811566144
left_pokemon_charge_move_1_13,0.0006024821760052146
left_pokemon_fast_move_97,0.0006012178189231785
right_pokemon_charge_move_2_type_18,0.0006006451543404737
left_pokemon_charge_move_1_296,0.0005964733287984056
left_pokemon_charge_move_2_type_3,0.0005964150994481507
left_pokemon_charge_move_1_182,0.0005930444738896595
right_pokemon_fast_move_type_17,0.0005905979355975412
left_pokemon_fast_move_106,0.0005851686980681246
left_pokemon_charge_move_2_267,0.000583308008894689
left_pokemon_charge_move_1_137,0.0005816843179386884
left_pokemon_charge_move_1_143,0.000580138025245898
right_pokemon_charge_move_2_273,0.0005778742965709404
left_pokemon_charge_move_1_7,0.0005749029109684012
